Time,Open,High,Low,Close
2025-02-28 04:00:00,2865.74,2866.06,2860.89,2862.64
2025-02-28 04:05:00,2862.66,2863.15,2859.97,2860.14
2025-02-28 04:10:00,2860.16,2865.19,2859.33,2863.63
2025-02-28 04:15:00,2863.62,2863.62,2857.95,2859.43
2025-02-28 04:20:00,2859.42,2861.11,2857,2860.3
2025-02-28 04:25:00,2860.5,2860.55,2859.04,2859.78
2025-02-28 04:30:00,2859.79,2860.24,2859.14,2859.66
2025-02-28 04:35:00,2859.65,2860.48,2858.48,2860.48
2025-02-28 04:40:00,2860.47,2863.61,2860.3,2863.04
2025-02-28 04:45:00,2863.08,2864.91,2862.85,2864.74
